"Nama Obat: Sanmol | Kekuatan: 500 mg | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam","{""nama_obat"": ""Sanmol"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam""}"
"Nama Obat: Ester C | Kekuatan: Standar | Kandungan: Vitamin C (Ester-C) | Tipe: Bermerek | Fungsi: Membantu memelihara kesehatan tubuh dan memenuhi kebutuhan Vitamin C","{""nama_obat"": ""Ester C"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Vitamin C (Ester-C)"", ""tipe"": ""Bermerek"", ""fungsi"": ""Membantu memelihara kesehatan tubuh dan memenuhi kebutuhan Vitamin C""}"
"Nama Obat: Panadol | Kekuatan: 500 mg | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meringankan sakit kepala dan menurunkan demam","{""nama_obat"": ""Panadol"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meringankan sakit kepala dan menurunkan demam""}"
"Nama Obat: Becom-Zet | Kekuatan: Standar | Kandungan: Vitamin B kompleks, C, E, Zinc | Tipe: Bermerek | Fungsi: Membantu memelihara kesehatan tubuh selama masa pemulihan pasca sakit","{""nama_obat"": ""Becom-Zet"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Vitamin B kompleks, C, E, Zinc"", ""tipe"": ""Bermerek"", ""fungsi"": ""Membantu memelihara kesehatan tubuh selama masa pemulihan pasca sakit""}"
"Nama Obat: Synbio | Kekuatan: Standar | Kandungan: Probiotik | Tipe: Bermerek | Fungsi: Membantu memelihara kesehatan fungsi pencernaan","{""nama_obat"": ""Synbio"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Probiotik"", ""tipe"": ""Bermerek"", ""fungsi"": ""Membantu memelihara kesehatan fungsi pencernaan""}"
"Nama Obat: Viagra | Kekuatan: 50 mg | Kandungan: Sildenafil Citrate | Tipe: Bermerek | Fungsi: Meningkatkan aliran darah ke penis setelah adanya rangsangan seksual","{""nama_obat"": ""Viagra"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Sildenafil Citrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meningkatkan aliran darah ke penis setelah adanya rangsangan seksual""}"
"Nama Obat: Viagra | Kekuatan: 100 mg | Kandungan: Sildenafil Citrate | Tipe: Bermerek | Fungsi: Memicu ereksi dan membuat ereksi bertahan lebih lama","{""nama_obat"": ""Viagra"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Sildenafil Citrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Memicu ereksi dan membuat ereksi bertahan lebih lama""}"
"Nama Obat: Cialis | Kekuatan: 2,5 mg | Kandungan: Tadalafil | Tipe: Bermerek | Fungsi: Merelaksasi otot dan memperlancar aliran darah ke penis","{""nama_obat"": ""Cialis"", ""kekuatan_obat"": ""2,5 mg"", ""kandungan"": ""Tadalafil"", ""tipe"": ""Bermerek"", ""fungsi"": ""Merelaksasi otot dan memperlancar aliran darah ke penis""}"
"Nama Obat: Cialis | Kekuatan: 5 mg | Kandungan: Tadalafil | Tipe: Bermerek | Fungsi: Merelaksasi otot dan memperlancar aliran darah ke penis","{""nama_obat"": ""Cialis"", ""kekuatan_obat"": ""5 mg"", ""kandungan"": ""Tadalafil"", ""tipe"": ""Bermerek"", ""fungsi"": ""Merelaksasi otot dan memperlancar aliran darah ke penis""}"
"Nama Obat: Cialis | Kekuatan: 10 mg | Kandungan: Tadalafil | Tipe: Bermerek | Fungsi: Merelaksasi otot dan memperlancar aliran darah ke penis","{""nama_obat"": ""Cialis"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Tadalafil"", ""tipe"": ""Bermerek"", ""fungsi"": ""Merelaksasi otot dan memperlancar aliran darah ke penis""}"
"Nama Obat: Cialis | Kekuatan: 20 mg | Kandungan: Tadalafil | Tipe: Bermerek | Fungsi: Merelaksasi otot dan memperlancar aliran darah ke penis","{""nama_obat"": ""Cialis"", ""kekuatan_obat"": ""20 mg"", ""kandungan"": ""Tadalafil"", ""tipe"": ""Bermerek"", ""fungsi"": ""Merelaksasi otot dan memperlancar aliran darah ke penis""}"
"Nama Obat: Rozgra | Kekuatan: 50 mg | Kandungan: Sildenafil Citrate | Tipe: Bermerek | Fungsi: Mengatasi disfungsi ereksi dengan memperlancar aliran darah ke penis","{""nama_obat"": ""Rozgra"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Sildenafil Citrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengatasi disfungsi ereksi dengan memperlancar aliran darah ke penis""}"
"Nama Obat: Rozgra | Kekuatan: 100 mg | Kandungan: Sildenafil Citrate | Tipe: Bermerek | Fungsi: Mengatasi disfungsi ereksi dengan memperlancar aliran darah ke penis","{""nama_obat"": ""Rozgra"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Sildenafil Citrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengatasi disfungsi ereksi dengan memperlancar aliran darah ke penis""}"
"Nama Obat: Camastil | Kekuatan: 100 mg | Kandungan: Sildenafil Citrate | Tipe: Bermerek | Fungsi: Melemaskan pembuluh darah di penis sehingga meningkatkan aliran darah saat pria mengalami rangsangan","{""nama_obat"": ""Camastil"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Sildenafil Citrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Melemaskan pembuluh darah di penis sehingga meningkatkan aliran darah saat pria mengalami rangsangan""}"
"Nama Obat: Harnal OCAS | Kekuatan: 0,4 mg | Kandungan: Tamsulosin | Tipe: Bermerek | Fungsi: Mengobati gejala saluran kemih bawah yang berhubungan dengan hiperplasia prostat jinak","{""nama_obat"": ""Harnal OCAS"", ""kekuatan_obat"": ""0,4 mg"", ""kandungan"": ""Tamsulosin"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati gejala saluran kemih bawah yang berhubungan dengan hiperplasia prostat jinak""}"
"Nama Obat: Micardis | Kekuatan: 40 mg | Kandungan: Telmisartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan pencegahan morbiditas kardiovaskular","{""nama_obat"": ""Micardis"", ""kekuatan_obat"": ""40 mg"", ""kandungan"": ""Telmisartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan pencegahan morbiditas kardiovaskular""}"
"Nama Obat: Micardis | Kekuatan: 80 mg | Kandungan: Telmisartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan pencegahan morbiditas kardiovaskular","{""nama_obat"": ""Micardis"", ""kekuatan_obat"": ""80 mg"", ""kandungan"": ""Telmisartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan pencegahan morbiditas kardiovaskular""}"
"Nama Obat: Twynsta | Kekuatan: 40 mg / 5 mg | Kandungan: Telmisartan / Amlodipin | Tipe: Bermerek | Fungsi: Terapi hipertensi esensial pada pasien yang tekanan darahnya tidak dapat dikontrol dengan monoterapi","{""nama_obat"": ""Twynsta"", ""kekuatan_obat"": ""40 mg / 5 mg"", ""kandungan"": ""Telmisartan / Amlodipin"", ""tipe"": ""Bermerek"", ""fungsi"": ""Terapi hipertensi esensial pada pasien yang tekanan darahnya tidak dapat dikontrol dengan monoterapi""}"
"Nama Obat: Twynsta | Kekuatan: 80 mg / 5 mg | Kandungan: Telmisartan / Amlodipin | Tipe: Bermerek | Fungsi: Terapi kombinasi untuk menurunkan tekanan darah tinggi (hipertensi)","{""nama_obat"": ""Twynsta"", ""kekuatan_obat"": ""80 mg / 5 mg"", ""kandungan"": ""Telmisartan / Amlodipin"", ""tipe"": ""Bermerek"", ""fungsi"": ""Terapi kombinasi untuk menurunkan tekanan darah tinggi (hipertensi)""}"
"Nama Obat: Nivec | Kekuatan: 478 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Nivec"", ""kekuatan_obat"": ""478 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Imatin | Kekuatan: 100 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis (LMK)","{""nama_obat"": ""Imatin"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis (LMK)""}"
"Nama Obat: Mianib | Kekuatan: 100 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Mianib"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Imanib | Kekuatan: 100 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Imanib"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Imnib 400 | Kekuatan: 400 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Imnib 400"", ""kekuatan_obat"": ""400 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Tibisan 400 | Kekuatan: 400 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Tibisan 400"", ""kekuatan_obat"": ""400 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Tykonib 400 | Kekuatan: 400 mg | Kandungan: Imatinib | Tipe: Bermerek | Fungsi: Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal","{""nama_obat"": ""Tykonib 400"", ""kekuatan_obat"": ""400 mg"", ""kandungan"": ""Imatinib"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati leukemia myeloid kronis dan tumor stroma gastrointestinal""}"
"Nama Obat: Irbesal 300 | Kekuatan: 300 mg | Kandungan: Irbesartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan nefropati diabetik","{""nama_obat"": ""Irbesal 300"", ""kekuatan_obat"": ""300 mg"", ""kandungan"": ""Irbesartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan nefropati diabetik""}"
"Nama Obat: Irvell | Kekuatan: 300 mg | Kandungan: Irbesartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan nefropati diabetik","{""nama_obat"": ""Irvell"", ""kekuatan_obat"": ""300 mg"", ""kandungan"": ""Irbesartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan nefropati diabetik""}"
"Nama Obat: Irvask | Kekuatan: 300 mg | Kandungan: Irbesartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan nefropati diabetik","{""nama_obat"": ""Irvask"", ""kekuatan_obat"": ""300 mg"", ""kandungan"": ""Irbesartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan nefropati diabetik""}"
"Nama Obat: Claritin | Kekuatan: 10 mg | Kandungan: Loratadine | Tipe: Bermerek | Fungsi: Meredakan gejala rinitis alergi dan gatal-gatal kronis","{""nama_obat"": ""Claritin"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Loratadine"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan gejala rinitis alergi dan gatal-gatal kronis""}"
"Nama Obat: Ativan | Kekuatan: 0,5 mg | Kandungan: Lorazepam | Tipe: Bermerek | Fungsi: Mengatasi gangguan kecemasan","{""nama_obat"": ""Ativan"", ""kekuatan_obat"": ""0,5 mg"", ""kandungan"": ""Lorazepam"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengatasi gangguan kecemasan""}"
"Nama Obat: Ativan | Kekuatan: 1 mg | Kandungan: Lorazepam | Tipe: Bermerek | Fungsi: Mengatasi gangguan kecemasan","{""nama_obat"": ""Ativan"", ""kekuatan_obat"": ""1 mg"", ""kandungan"": ""Lorazepam"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengatasi gangguan kecemasan""}"
"Nama Obat: Ativan | Kekuatan: 2 mg | Kandungan: Lorazepam | Tipe: Bermerek | Fungsi: Mengatasi gangguan kecemasan","{""nama_obat"": ""Ativan"", ""kekuatan_obat"": ""2 mg"", ""kandungan"": ""Lorazepam"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengatasi gangguan kecemasan""}"
"Nama Obat: Cozaar | Kekuatan: 50 mg | Kandungan: Losartan | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan melindungi fungsi ginjal pada penderita diabetes","{""nama_obat"": ""Cozaar"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Losartan"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan melindungi fungsi ginjal pada penderita diabetes""}"
"Nama Obat: Provera | Kekuatan: 10 mg | Kandungan: Medroxyprogesterone acetate | Tipe: Bermerek | Fungsi: Mengobati gangguan siklus menstruasi dan perdarahan uterus abnormal","{""nama_obat"": ""Provera"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Medroxyprogesterone acetate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati gangguan siklus menstruasi dan perdarahan uterus abnormal""}"
"Nama Obat: Movi-cox | Kekuatan: 15 mg | Kandungan: Meloxicam | Tipe: Bermerek | Fungsi: Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis","{""nama_obat"": ""Movi-cox"", ""kekuatan_obat"": ""15 mg"", ""kandungan"": ""Meloxicam"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis""}"
"Nama Obat: Tensinop | Kekuatan: 10 mg | Kandungan: Lisinopril Dihydrate | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan gagal jantung kongestif","{""nama_obat"": ""Tensinop"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Lisinopril Dihydrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung kongestif""}"
"Nama Obat: Interpril | Kekuatan: 10 mg | Kandungan: Lisinopril Dihydrate | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan gagal jantung","{""nama_obat"": ""Interpril"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Lisinopril Dihydrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung""}"
"Nama Obat: Loparta | Kekuatan: 200 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Mengobati infeksi HIV-1 pada dewasa dan anak-anak","{""nama_obat"": ""Loparta"", ""kekuatan_obat"": ""200 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati infeksi HIV-1 pada dewasa dan anak-anak""}"
"Nama Obat: Lopivia | Kekuatan: 200 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Terapi infeksi virus HIV-1","{""nama_obat"": ""Lopivia"", ""kekuatan_obat"": ""200 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi infeksi virus HIV-1""}"
"Nama Obat: Ritocom | Kekuatan: 100 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Terapi infeksi virus HIV-1","{""nama_obat"": ""Ritocom"", ""kekuatan_obat"": ""100 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi infeksi virus HIV-1""}"
"Nama Obat: Acetensa | Kekuatan: 50 mg | Kandungan: Losartan Potassium | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial","{""nama_obat"": ""Acetensa"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Losartan Potassium"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial""}"
"Nama Obat: Amlodipine Besilate | Kekuatan: 5 mg | Kandungan: Amlodipine Besilate | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi (hipertensi) dan angina","{""nama_obat"": ""Amlodipine Besilate"", ""kekuatan_obat"": ""5 mg"", ""kandungan"": ""Amlodipine Besilate"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi (hipertensi) dan angina""}"
"Nama Obat: Amlodipine Besilate | Kekuatan: 10 mg | Kandungan: Amlodipine Besilate | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi dan menurunkan beban kerja jantung","{""nama_obat"": ""Amlodipine Besilate"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Amlodipine Besilate"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi dan menurunkan beban kerja jantung""}"
"Nama Obat: Metformin | Kekuatan: 500 mg | Kandungan: Metformin HCl | Tipe: Generik | Fungsi: Terapi lini pertama untuk mengelola diabetes melitus tipe 2","{""nama_obat"": ""Metformin"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Metformin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi lini pertama untuk mengelola diabetes melitus tipe 2""}"
"Nama Obat: Metformin | Kekuatan: 850 mg | Kandungan: Metformin HCl | Tipe: Generik | Fungsi: Mengurangi produksi glukosa oleh hati dan meningkatkan sensitivitas terhadap insulin","{""nama_obat"": ""Metformin"", ""kekuatan_obat"": ""850 mg"", ""kandungan"": ""Metformin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Mengurangi produksi glukosa oleh hati dan meningkatkan sensitivitas terhadap insulin""}"
"Nama Obat: Captopril | Kekuatan: 12,5 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi (hipertensi) dan gagal jantung","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""12,5 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi (hipertensi) dan gagal jantung""}"
"Nama Obat: Captopril | Kekuatan: 25 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Mengobati hipertensi esensial dan gagal jantung kongestif","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""25 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung kongestif""}"
"Nama Obat: Captopril | Kekuatan: 50 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Menurunkan tekanan darah tinggi pada kondisi hipertensi berat","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Menurunkan tekanan darah tinggi pada kondisi hipertensi berat""}"
